premise,hypothesis,label,explanation_1,explanation_2,explanation_3,premise_highlighted_1,hypothesis_highlighted_1,premise_highlighted_2,hypothesis_highlighted_2,premise_highlighted_3,hypothesis_highlighted_3,premise_marked_1,hypothesis_marked_1,premise_marked_2,hypothesis_marked_2,premise_marked_3,hypothesis_marked_3,highlighted_premise_all,highlighted_hypothesis_all
A child is thrown by a man in the swimming pool.,A child is tosses into a box by a woman.,2,A child cannot be thrown by a man and tossed by a woman simultaneously.,Then difference is in the first the child is thrown by a man and the second is a child being tossed by a woman.,A child cannot be tossed into both a box and a swimming pool simultaneously. The person throwing the child cannot be both a man and a woman.,,,,,,,A child is *thrown* *by* *a* *man* in the swimming pool.,A child is *tosses* into a box *by* a *woman.*,A *child* is *thrown* by a *man* in the swimming pool.,A *child* is *tosses* into a box by a *woman.*,A child is *thrown* *by* a *man* *in* the swimming *pool.*,A child is *tosses* *into* a *box* *by* a *woman.*,"by,in,child,thrown,a,man,pool","into,woman,by,box,child,tosses"
A curly-haired man is talking or possibly debating with a blond-haired man in front of a table.,A man and a woman are hugging in front of a restaurant.,2,Two men is not the same as a pair comprised of a man and a woman. Talking or debating is a different action than hugging.,One cannot debate while hugging.,The subjects are either debating or hugging.,,,,,,,A *curly-haired* *man* is *talking* *or* *possibly* *debating* with a *blond-haired* *man* in front of a table.,A *man* and a *woman* are *hugging* in front of a restaurant.,A curly-haired man is talking or possibly *debating* with a blond-haired man in front of a table.,A man and a woman are *hugging* in front of a restaurant.,A curly-haired man is talking or possibly *debating* with a blond-haired man in front of a table.,A man and a woman are *hugging* in front of a restaurant.,"debating,blond-haired,possibly,curly-haired,or,talking,man","hugging,man,woman"
A father is teaching his son how to ride a bicycle.,The father is teaching his daughter how to ride a bike.,2,It has to be his son or a daughter,The first sentence is about a father teaching his son to ride a bicycle and the second is about a father teaching a daughter.,The child cannot both be a son and a daughter,,,,,,,A father is teaching his *son* how to ride a bicycle.,The father is teaching his *daughter* how to ride a bike.,A father is teaching his *son* how to ride a bicycle.,The father is teaching his *daughter* how to ride a bike.,A father is teaching his *son* how to ride a bicycle.,The father is teaching his *daughter* how to ride a bike.,son,daughter
A child with wet hair is holding a butterfly decorated beach ball.,The child is dry.,2,"The child's hair is either wet or dry, it cannot be both.",A child with wet hair cannot be dry simultaneously.,if a child has wet hair then technically the child isnt dry,,,,,,,A child with *wet* *hair* is holding a butterfly decorated beach ball.,The child is *dry.*,*A* *child* *with* *wet* *hair* is holding a butterfly decorated beach ball.,The child is *dry.*,A child with *wet* *hair* is holding a butterfly decorated beach ball.,The child is *dry.*,"A,child,hair,wet,with",dry
A man is holding a cigarette outdoors in front of a blue wall with a sink on it.,A woman smokes a bong.,2,A man and a woman are two different people.,"A woman is different from a man, and while she smokes a bong, the man is holding a cigarette.",Man refers to male and woman refers to female. A cigarette is different than a bong.,,,,,,,A *man* is holding a cigarette outdoors in front of a blue wall with a sink on it.,A *woman* smokes a bong.,*A* *man* is holding a cigarette outdoors in front of a blue wall with a sink on it.,*A* *woman* smokes a *bong.*,A *man* is holding a *cigarette* outdoors in front of a blue wall with a sink on it.,A *woman* smokes a *bong.*,"A,cigarette,man","bong,A,woman"
A young man appears bored in a restaurant.,A young woman appears bored in a restaurant.,2,The man can't be a woman.,"The young person can't be referred to as a man, and as a woman.",The person is either a man or a woman.,,,,,,,A young *man* appears bored in a restaurant.,A young *woman* appears bored in a restaurant.,A young *man* appears bored in a restaurant.,A young *woman* appears bored in a restaurant.,A young *man* appears bored in a restaurant.,A young *woman* appears bored in a restaurant.,man,woman
a blond woman kissing the cheek of a brown-haired man.,A man and a woman sharing a kiss on the cheek.,0,The man and woman are sharing a kiss because one of them is kissing the other person's cheek.,"The woman is kissing the man on the cheek, so the man and woman are sharing a kiss.",the man and a woman sharing a kiss on the cheek are blond and brown-haired respectively,,,,,,, a blond woman *kissing* the *cheek* of a brown-haired man., A man and a woman *sharing* a *kiss* on the cheek., a blond *woman* *kissing* the *cheek* of a brown-haired *man.*, A *man* and a *woman* *sharing* a *kiss* on the *cheek.*, a *blond* woman *kissing* the cheek of a brown-haired man., A *man* and a *woman* *sharing* a *kiss* on *the* *cheek.*,"kissing,woman,cheek,blond,man","woman,sharing,cheek,kiss,the,man"
A man in a coat with a briefcase walks down a street next to the bus lane.,A woman in a coat with a briefcase walks down a street next to the bus lane.,2,A woman is different from a man.,It can't be both a man and a woman.,It either is a man or a woman.,,,,,,,A *man* in a coat with a briefcase walks down a street next to the bus lane.,A *woman* in a coat with a briefcase walks down a street next to the bus lane.,A *man* in a coat with a briefcase walks down a street next to the bus lane.,A *woman* in a coat with a briefcase walks down a street next to the bus lane.,A *man* in a coat with a briefcase walks down a street next to the bus lane.,A *woman* in a coat with a briefcase walks down a street next to the bus lane.,man,woman
"A man sitting on a statue outdoors, near a woman standing next to him.",man and woman sitting near a statue,0,"If a man is sitting near a statue and a woman is next to him, the man and woman are near a statue.",A couple are sitting near statue,A man is sitting with a woman while near a statue.,,,,,,," A *man* sitting on a *statue* outdoors, *near* *a* *woman* standing *next* *to* *him.*", *man* *and* *woman* sitting *near* *a* *statue*," A man sitting on a *statue* outdoors, near a woman standing next to him.", man and woman *sitting* near a statue," A *man* *sitting* on a *statue* outdoors, *near* a *woman* *standing* next to him.", *man* and *woman* *sitting* *near* a *statue*,"him,near,woman,statue,sitting,to,standing,a,man,next","woman,statue,sitting,and,a,man,near"
"A woman with a white blanket over her head is holding a baby wrapped in a blue, pink, and yellow blanket.",The blanket is black.,2,"A white, blue, pink or yellow blanket cannot be black.",A black blanket is not white.,"A blanket cannot be completely black while simultaneously being white, or a combination of blue, pink, and yellow.",,,,,,," A woman with a *white* *blanket* over her head is holding a baby wrapped in a *blue,* *pink,* and *yellow* *blanket.*",The *blanket* is *black.*," A woman with a *white* *blanket* over her head is holding a baby wrapped in a blue, pink, and yellow blanket.",The *blanket* is *black.*," A woman with a *white* blanket over her head is holding a baby wrapped in a *blue,* *pink,* and *yellow* blanket.",The blanket is *black.*,"white,pink,blue,yellow,blanket","blanket,black"
"A couple is sitting down smiling, with the woman linking arms with the man.",A couple is standing and frowning.,2,One can't be smiling and frowning at the same time.,A couple cannot be standing and frowning if they are sitting down.,The couple cannot be standing and frowning while sitting down smiling.,,,,,,," A couple is sitting down *smiling,* with the woman linking arms with the man.",A couple is standing and *frowning.*," A couple is *sitting* *down* smiling, with the woman linking arms with the man.",A couple is *standing* and *frowning.*," A couple is *sitting* *down* *smiling,* with the woman linking arms with the man.",A couple is *standing* *and* *frowning.*,"sitting,down,smiling","standing,frowning,and"
"A woman carries a small, unhappy child in a busy street scene.",man walking a dog,2,Either describes a woman and child or a man and dog.,"woman doesn't mean man, child doesn't mean dog","A man is not a woman, and a dog is not an unhappy child.",,,,,,," A *woman* carries a small, unhappy *child* in a busy street scene.",*man* walking a *dog*," A *woman* carries a small, unhappy *child* in a busy street scene.",*man* walking a *dog*," A *woman* carries a small, *unhappy* *child* in a busy street scene.",*man* walking a *dog*,"unhappy,child,woman","dog,man"
A woman in a bright pink and green skirt carries a large wicker basket on her back up a stone-cobbled street.,The woman is carrying a basket down the street.,0,"A woman currently carries the basket along the street, this is a summary without the description of her clothes and the type of street.",'The woman is carrying a basket down the street' is a less detailed rephrasing of 'A woman....carries a large wicker basket...up a stone-cobbled street'.,"Woman in a bright pink and green skirt is a type of woman, and large wicker basket is a type of basket.",,,,,,, A woman in a bright pink and green skirt *carries* a large wicker *basket* on her back up a stone-cobbled *street.*, The woman is carrying a basket down the street., A *woman* in a bright pink and green skirt *carries* *a* *large* *wicker* *basket* on her back *up* *a* *stone-cobbled* *street.*, The *woman* *is* *carrying* *a* *basket* *down* *the* *street.*, A *woman* *in* *a* *bright* *pink* *and* *green* *skirt* carries a *large* *wicker* *basket* on her back up a stone-cobbled street., The *woman* is carrying a *basket* down the street.,"basket,pink,woman,in,stone-cobbled,large,up,and,green,skirt,wicker,bright,a,carries,street","carrying,woman,is,street,a,down,the,basket"
